School Year,"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: Two or more races (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: Two or more races (Tot. M)","Totals, Male: White (Tot. M)"
2013-2014,21,5,7,0,3,10,105,14,73,1,0,6,170
2014-2015,36,5,11,0,2,10,141,17,85,1,0,13,187
2015-2016,41,8,13,0,2,19,188,18,83,1,0,18,201
2012-2013,2,1,2,0,0,15,3,7,1,0,0,5,59
2013-2014,2,1,2,0,1,14,8,5,4,0,0,4,55
2015-2016,2,9,1,0,1,16,4,22,5,3,0,8,177
2014-2015,1,4,1,0,0,18,7,27,6,1,0,7,148
2013-2014,1,9,0,0,2,15,5,23,2,3,0,6,128
2012-2013,0,6,0,0,0,13,3,25,2,1,0,6,133
2015-2016,23,14,5,1,0,103,117,41,46,9,4,0,877
2015-2016,15,0,2,0,6,24,10,1,8,1,0,1,27
2015-2016,0,0,2,1,2,20,9,1,5,1,0,3,51
2015-2016,96,2,0,0,6,30,132,13,3,1,0,33,112
2015-2016,9,1,5,1,0,49,21,17,12,0,0,5,184
2015-2016,32,5,2,0,0,7,153,9,12,0,0,0,63
2016-2017,49,6,4,0,3,12,181,15,31,0,0,12,66
2015-2016,17,1,0,1,3,39,56,9,6,1,1,5,152
2015-2016,43,3,9,0,9,66,175,16,42,1,1,20,409
2016-2017,22,7,1,0,2,16,46,18,16,0,0,13,129
2016-2017,0,1,3,0,2,4,0,4,3,0,0,1,34
2015-2016,0,0,1,0,0,4,0,2,1,0,0,1,28
2016-2017,1,0,1,0,3,35,2,0,8,0,0,16,259
2015-2016,9,1,4,0,0,20,31,3,20,0,0,0,158
2016-2017,10,1,4,0,0,25,41,3,17,0,0,0,157
2015-2016,15,7,3,0,1,16,45,17,11,2,1,14,219
2016-2017,99,11,11,0,0,52,157,19,24,0,0,0,152
2011-2012,24,1,1,0,1,18,184,9,19,0,2,18,369
2012-2013,24,1,2,0,2,21,242,13,27,0,1,19,401
2013-2014,38,2,2,0,3,31,275,15,24,0,1,13,393
2014-2015,69,1,3,0,4,43,287,15,28,0,0,13,362
2015-2016,94,1,6,0,5,45,301,15,30,0,0,20,313
2015-2016,0,2,35,0,0,3,4,3,169,1,0,0,17
2016-2017,0,2,45,0,0,1,3,3,188,1,0,0,22
2016-2017,168,27,26,0,18,152,460,90,88,1,1,46,662
2006-2007,4,1,5,0,0,19,8,15,29,2,0,0,246
2007-2008,3,1,3,0,0,20,12,7,33,2,0,0,253
2008-2009,3,1,5,0,0,24,14,5,32,1,0,0,221
2009-2010,4,4,4,0,0,26,20,10,29,2,0,0,201
2010-2011,5,5,7,0,1,29,21,15,52,1,0,5,244
2011-2012,7,3,9,0,2,33,29,18,60,1,0,7,278
2012-2013,6,3,12,0,3,28,35,17,72,1,0,8,289
2013-2014,7,3,14,0,4,31,47,14,88,3,1,14,325
2014-2015,8,6,16,0,1,28,58,10,97,3,1,15,296
2015-2016,12,7,16,0,3,38,75,12,114,3,0,23,327
2015-2016,2,0,2,0,2,43,5,4,12,1,0,15,345
2015-2016,9,4,0,0,2,19,14,6,2,1,0,7,78
2012-2013,16,1,8,2,1,21,102,5,47,0,2,17,144
2013-2014,15,0,10,0,2,28,102,6,44,0,2,25,136
2014-2015,23,0,8,0,1,31,114,6,44,0,1,25,137
2015-2016,23,0,10,0,3,28,113,3,46,0,1,27,128
2015-2016,3,6,2,0,4,24,8,7,5,1,0,5,61
2015-2016,43,2,18,0,5,8,292,16,136,0,2,36,78
2015-2016,22,11,4,0,0,80,71,31,39,1,0,0,484
2004-2005,22,4,6,0,0,5,110,16,31,2,0,0,140
2015-2016,14,3,5,0,1,8,155,28,70,0,0,6,135
2014-2015,4,4,2,0,2,15,7,12,3,2,0,8,126
2015-2016,8,2,2,0,2,13,14,12,5,1,0,8,168
2016-2017,2,1,2,0,0,4,7,5,7,0,0,2,32
2011-2012,2,0,0,0,0,22,38,4,5,1,0,0,247
2012-2013,8,0,1,0,0,21,48,3,5,3,1,0,236
2013-2014,11,0,2,0,0,16,58,5,4,3,2,0,246
2015-2016,31,0,3,0,0,24,102,6,8,2,2,0,265
2015-2016,1,3,5,0,1,16,12,8,26,0,1,8,130
2004-2005,2,6,5,0,0,1,11,22,29,1,0,0,7
2015-2016,10,6,16,0,2,2,33,17,86,0,0,10,14
2015-2016,15,1,2,0,5,69,73,6,28,1,4,16,548
2014-2015,21,0,2,0,0,17,86,4,9,4,1,0,234
2011-2012,2,8,24,0,0,4,10,29,197,0,2,13,30
2012-2013,5,8,16,0,1,2,15,21,215,0,0,10,34
2013-2014,2,6,35,0,2,5,21,34,279,0,0,9,40
2014-2015,3,11,34,0,0,9,27,38,303,0,0,13,43
2015-2016,2,8,30,0,0,12,20,38,269,0,0,9,31
2013-2014,33,5,2,0,7,34,95,23,42,0,6,20,528
2014-2015,41,4,4,0,2,61,133,36,49,0,10,28,539
2015-2016,53,8,7,0,4,71,169,42,53,0,16,22,561
2004-2005,0,0,0,0,5,1,2,0,1,0,0,9,32
2005-2006,1,0,0,0,2,3,5,0,0,0,0,8,21
2007-2008,3,0,0,0,0,8,4,4,1,1,0,0,46
2008-2009,4,0,0,0,0,4,5,1,3,0,0,0,49
2009-2010,2,0,0,0,1,6,7,0,3,0,0,0,39
2010-2011,1,1,0,0,1,6,11,0,1,0,0,2,49
2011-2012,3,1,0,0,0,8,14,0,2,0,0,5,59
2010-2011,11,0,1,0,4,16,22,2,9,3,0,7,139
2011-2012,16,0,3,0,1,21,17,2,14,4,0,6,167
2012-2013,14,0,3,0,5,25,30,5,27,7,1,12,216
2013-2014,12,0,2,0,5,35,41,1,32,9,1,17,213
2014-2015,9,0,3,0,5,42,62,10,34,6,2,27,244
2014-2015,20,1,0,0,0,28,56,6,9,2,2,0,228
2015-2016,13,1,9,0,20,60,81,14,40,4,2,31,279
2010-2011,2,2,2,0,0,6,26,15,7,0,1,2,48
2011-2012,3,2,5,0,1,5,40,14,8,0,0,2,67
2012-2013,8,3,2,0,0,7,35,18,17,0,0,2,65
2013-2014,7,4,6,0,2,7,54,17,20,0,0,4,74
2014-2015,12,6,4,0,2,7,66,23,24,0,0,7,75
2014-2015,21,4,2,0,1,16,65,3,5,0,0,3,100
2013-2014,10,4,3,0,1,17,49,4,3,0,0,5,79
2012-2013,9,1,1,0,0,10,25,4,2,0,0,3,48
2011-2012,6,2,0,0,1,6,17,3,2,0,0,2,44
2010-2011,3,1,0,0,1,5,18,1,2,1,0,2,35
2015-2016,22,2,1,0,7,29,28,3,20,0,0,11,126
2015-2016,30,4,4,0,1,17,91,8,6,0,0,2,97
2015-2016,12,5,3,0,1,10,80,29,27,0,0,7,82
2015-2016,9,3,3,0,5,24,31,6,10,2,0,5,112
2010-2011,2,2,0,0,0,20,29,7,6,2,0,0,236
2012-2013,5,0,0,0,0,13,19,0,4,0,0,4,55
2014-2015,10,1,0,0,5,12,25,2,12,0,0,5,87
2013-2014,5,1,0,0,3,13,17,1,5,0,0,5,65
2004-2005,3,1,0,0,5,1,6,3,2,0,0,13,30
2005-2006,3,3,0,0,3,0,4,6,1,0,0,9,33
2007-2008,1,0,0,0,0,3,4,3,2,1,0,1,13
2008-2009,1,0,0,0,0,0,4,2,2,1,0,1,8
2009-2010,0,0,0,0,1,1,2,1,1,0,0,0,12
2010-2011,0,0,1,0,1,3,4,1,2,0,0,0,21
2011-2012,2,1,1,0,0,4,3,1,2,0,0,1,28
2013-2014,2,0,3,0,0,13,29,5,17,0,1,5,117
2014-2015,11,1,7,0,1,35,68,16,36,5,4,28,241
2014-2015,1,1,1,0,0,8,8,2,3,1,0,0,29
2015-2016,15,2,9,1,4,41,90,17,53,13,4,42,343
2010-2011,2,0,4,0,0,3,7,5,3,0,0,0,11
2011-2012,3,1,0,0,0,3,8,5,5,0,0,1,8
2012-2013,3,2,0,0,0,1,5,6,5,0,0,1,18
2013-2014,1,0,0,0,0,0,8,6,4,0,0,2,19
2014-2015,2,2,0,0,0,0,10,7,10,0,0,1,25
2014-2015,9,0,0,0,0,6,14,1,0,0,0,2,18
2013-2014,10,0,0,0,0,6,13,1,0,0,0,1,21
2012-2013,7,1,0,0,0,4,12,1,0,0,0,1,16
2011-2012,6,0,0,0,0,2,16,1,1,2,0,2,11
2010-2011,4,0,0,0,0,1,6,0,0,0,0,1,12
2015-2016,11,1,2,0,1,11,22,2,2,1,0,0,22
2015-2016,2,6,0,0,0,3,27,14,16,0,0,0,23
2010-2011,1,1,0,0,0,1,6,0,3,0,0,0,22
2011-2012,0,1,0,1,0,2,8,0,0,1,0,0,25
2012-2013,1,1,0,0,0,3,11,2,0,0,0,0,33
2013-2014,5,0,0,0,0,4,13,5,0,2,0,0,50
2015-2016,22,1,0,0,0,12,73,9,5,3,0,0,136
2012-2013,6,0,1,0,4,6,0,1,3,0,0,7,27
2013-2014,6,0,1,0,5,12,1,1,2,0,0,6,27
2014-2015,12,1,1,0,2,16,5,1,8,0,0,6,34
2015-2016,10,2,1,0,2,14,9,4,7,0,0,8,37
2014-2015,20,2,0,0,0,6,47,8,5,2,0,0,103
2014-2015,1,0,1,0,0,4,6,3,3,0,0,0,5
2013-2014,1,0,0,0,0,2,4,2,2,0,0,0,7
2012-2013,1,0,0,0,0,2,4,3,2,0,0,0,14
2011-2012,1,1,0,0,0,3,11,8,7,0,0,0,12
2010-2011,3,2,0,0,0,3,11,7,7,0,0,0,5
2015-2016,16,2,5,0,4,66,15,11,17,1,1,4,178
2014-2015,16,1,5,0,5,66,14,8,14,1,0,3,184
2013-2014,9,0,4,0,5,67,13,11,16,1,0,7,177
2012-2013,7,3,1,0,4,58,18,15,15,2,0,4,183
2011-2012,7,3,1,0,5,68,16,13,18,2,0,6,214
2010-2011,7,3,2,0,4,75,18,12,11,3,0,5,248
2009-2010,8,3,0,0,3,72,20,8,6,2,0,4,286
2008-2009,7,4,1,0,2,70,20,8,5,2,1,5,335
2015-2016,9,1,1,0,0,5,7,3,6,0,0,0,11
2016-2017,22,5,4,0,2,7,18,5,10,0,0,2,19
2010-2011,5,0,4,0,2,3,2,0,2,0,0,0,4
2011-2012,7,0,2,0,3,7,1,0,4,0,0,1,7
2012-2013,5,0,2,1,3,6,2,0,7,0,0,1,6
2013-2014,4,0,1,1,4,8,1,0,6,0,0,1,4
2014-2015,8,0,1,1,2,7,2,0,3,0,0,0,6
2016-2017,17,4,7,1,6,74,16,15,17,0,1,8,195
2008-2009,0,1,0,0,0,1,0,1,0,0,0,0,6
2014-2015,0,5,0,0,0,22,3,10,4,0,0,4,108
2015-2016,0,5,0,1,0,33,3,7,5,0,0,3,117
2008-2009,0,0,0,0,0,0,0,1,0,0,0,0,4
2008-2009,4,14,0,0,2,33,14,7,1,0,0,5,89
2009-2010,4,7,0,0,4,29,12,6,1,0,0,6,79
2010-2011,5,3,0,0,4,30,5,12,1,0,0,8,95
2011-2012,3,3,0,0,4,27,10,9,3,0,0,10,97
2014-2015,0,0,1,0,2,23,0,2,7,1,0,7,60
2013-2014,2,1,1,0,1,16,1,1,4,0,0,9,92
2012-2013,0,0,1,0,1,8,1,0,6,0,0,5,74
2009-2010,0,0,1,0,1,17,0,3,1,0,0,3,68
2010-2011,0,0,0,0,2,7,0,2,5,0,1,6,68
2011-2012,0,0,0,0,1,14,2,0,3,0,0,2,52
2015-2016,0,0,2,0,1,17,22,2,4,0,0,3,65
2016-2017,2,0,1,0,0,15,1,4,4,0,0,1,76
2010-2011,5,0,6,1,0,61,19,2,19,2,1,6,249
2011-2012,4,0,10,0,1,69,30,5,25,2,1,10,273
2012-2013,5,0,7,0,2,71,27,4,24,5,3,9,288
2013-2014,7,1,8,0,4,71,30,4,25,7,5,8,308
2014-2015,9,1,7,0,5,67,30,5,40,6,4,13,338
2010-2011,6,6,35,0,2,17,83,12,129,1,17,13,95
2011-2012,8,8,38,0,2,19,112,14,169,0,11,21,90
2012-2013,15,12,37,0,1,12,118,21,194,0,5,25,97
2013-2014,18,10,31,0,2,11,126,12,249,0,2,22,107
2014-2015,13,8,28,0,6,7,129,8,231,0,1,14,102
2015-2016,12,2,10,0,0,75,50,5,48,7,4,0,375
2008-2009,3,1,5,0,6,74,21,2,12,0,0,33,198
2009-2010,5,2,4,0,7,63,19,4,11,0,0,36,196
2010-2011,6,7,4,0,6,59,23,6,16,0,1,33,214
2011-2012,9,7,3,0,13,61,25,13,10,0,1,43,235
2012-2013,8,8,3,0,16,74,30,7,10,0,1,50,258
2013-2014,3,8,5,0,25,99,29,12,11,0,0,64,304
2014-2015,4,6,3,0,27,110,23,16,16,0,0,82,332
2008-2009,3,6,2,0,4,44,12,17,3,1,0,19,252
2009-2010,6,3,1,0,10,51,13,17,5,2,0,24,246
2010-2011,6,5,0,0,8,52,12,15,7,2,0,35,218
2011-2012,2,6,1,0,8,42,8,15,10,3,0,51,228
2013-2014,1,0,58,0,5,0,1,0,101,0,0,39,3
2014-2015,0,0,42,0,0,3,0,1,98,0,0,0,7
2014-2015,1,0,1,0,0,12,0,0,5,0,0,17,47
2013-2014,0,0,0,0,0,14,0,1,5,0,0,12,41
2012-2013,0,0,0,0,2,15,0,1,3,0,0,4,38
2011-2012,0,0,1,0,0,16,0,1,4,0,0,3,46
2010-2011,0,0,1,0,0,16,0,0,2,0,0,2,49
2009-2010,0,0,0,0,0,15,0,0,1,0,0,1,54
2015-2016,0,1,50,0,0,7,1,2,109,0,0,0,10
2016-2017,1,2,75,0,0,2,3,0,134,0,0,0,6
2012-2013,9,5,1,0,3,5,35,17,9,0,0,16,52
2008-2009,0,7,0,0,5,8,17,18,3,1,0,28,90
2009-2010,3,5,0,0,5,8,17,12,6,1,0,39,105
2010-2011,1,10,1,1,2,8,19,19,4,1,0,29,115
2011-2012,1,6,0,1,3,4,15,23,5,0,0,29,125
2008-2009,10,0,0,2,7,22,68,4,18,2,5,70,291
2009-2010,7,0,0,2,8,23,67,5,20,3,4,86,331
2010-2011,5,0,1,1,9,27,62,6,21,5,4,119,357
2011-2012,4,0,0,1,10,31,61,4,32,4,2,133,362
2012-2013,7,0,1,1,15,32,73,7,38,0,1,151,406
2004-2005,8,1,1,0,2,4,37,1,6,0,0,9,46
2005-2006,1,1,2,0,2,4,34,0,7,0,0,5,37
2006-2007,0,1,2,0,2,4,35,0,9,0,0,5,40
2007-2008,3,0,2,0,3,2,28,0,11,0,0,9,27
2008-2009,4,0,2,0,3,3,25,2,8,0,2,17,33
2009-2010,7,1,4,0,5,4,22,2,14,0,0,18,38
2003-2004,18,8,9,0,3,19,79,13,29,0,0,7,119
2004-2005,13,4,3,0,0,18,57,10,29,0,0,4,107
2005-2006,6,0,3,0,0,1,27,1,6,1,0,11,33
2006-2007,5,0,3,0,0,1,22,1,11,1,0,9,34
2007-2008,3,1,3,0,0,2,12,0,14,0,0,7,30
2008-2009,10,3,4,0,0,4,49,5,35,1,3,0,69
2008-2009,7,6,0,0,1,6,39,36,6,0,0,0,99
2009-2010,8,3,1,1,0,7,23,28,8,1,0,0,82
2010-2011,6,7,0,1,0,11,37,42,7,1,0,3,112
2011-2012,2,6,1,0,0,9,37,33,10,2,0,4,111
2012-2013,5,7,2,0,3,12,50,36,10,1,0,6,135
2008-2009,1,6,1,0,0,9,11,23,9,0,0,7,93
2009-2010,0,9,0,0,6,5,17,27,13,0,0,18,82
2010-2011,1,5,2,1,6,5,23,28,16,0,1,16,86
2011-2012,4,3,2,1,6,6,28,22,12,1,0,18,73
2012-2013,4,2,3,1,7,5,29,26,17,0,0,17,79
2009-2010,15,3,3,0,0,6,66,7,30,1,6,0,71
2010-2011,12,2,5,1,0,7,79,6,35,1,2,0,76
2011-2012,16,2,4,0,0,7,95,4,45,0,0,0,84
2012-2013,15,0,8,0,0,10,118,4,74,1,0,0,90
2013-2014,2,4,5,0,4,13,33,26,15,0,0,26,214
2013-2014,5,0,0,0,1,8,46,5,10,0,0,25,145
2013-2014,13,1,7,1,7,62,142,10,64,2,4,54,701
2013-2014,7,1,1,0,2,6,43,14,17,0,1,13,48
2012-2013,1,6,0,1,7,5,11,24,7,0,1,38,112
2013-2014,2,4,0,1,6,8,17,22,6,0,1,55,126
2014-2015,5,3,0,0,6,14,30,24,11,0,0,71,140
2013-2014,22,1,14,0,0,8,126,2,96,2,0,0,117
2011-2012,1,0,0,0,0,3,6,0,0,0,0,1,8
2012-2013,2,0,0,0,0,2,8,0,0,0,0,2,9
2013-2014,1,1,1,0,0,3,14,4,1,1,0,1,14
2014-2015,0,1,0,0,1,4,0,0,2,0,0,0,14
2013-2014,0,0,0,0,2,2,0,0,1,0,0,0,12
2012-2013,0,0,0,0,2,0,0,0,0,0,0,1,10
2011-2012,0,0,0,0,2,0,0,0,0,0,0,1,14
2010-2011,0,0,0,0,0,0,0,0,0,0,0,3,15
2009-2010,0,1,0,0,0,0,0,0,0,0,0,2,12
2010-2011,2,1,0,0,0,1,33,9,6,0,0,0,24
2014-2015,9,3,2,0,0,2,55,8,14,0,0,0,19
2013-2014,6,0,0,0,0,3,49,6,4,0,0,0,22
2012-2013,4,1,0,0,0,4,33,5,9,1,0,0,26
2011-2012,2,2,0,0,0,2,31,7,8,0,0,0,29
2014-2015,0,0,0,0,0,1,1,0,2,0,0,0,4
2010-2011,0,0,0,0,0,5,0,0,0,2,0,3,63
2011-2012,0,0,0,0,0,6,0,0,0,2,0,1,62
2012-2013,0,0,0,0,0,4,1,0,3,0,0,3,66
2013-2014,0,0,0,0,0,5,2,0,3,1,0,1,83
2014-2015,0,0,0,0,0,5,2,0,3,2,0,1,93
2010-2011,14,3,17,0,2,3,116,19,135,0,17,4,46
2011-2012,19,2,15,0,3,2,152,21,156,1,10,8,59
2012-2013,20,2,23,0,0,1,162,17,193,2,8,10,72
2013-2014,27,2,26,0,1,3,178,11,178,5,6,16,78
2014-2015,19,2,20,1,2,2,196,13,187,1,2,17,74
2014-2015,1,1,0,0,0,14,6,4,9,1,1,0,177
2013-2014,0,0,0,0,0,17,5,0,9,2,0,0,176
2012-2013,0,0,0,0,0,14,2,1,6,2,0,0,165
2011-2012,0,0,0,0,0,14,4,4,4,2,0,0,166
2010-2011,0,0,1,0,0,12,4,1,4,0,1,0,184
2009-2010,0,0,0,0,0,9,5,4,5,2,1,0,175
2014-2015,8,1,2,0,3,15,65,6,16,0,0,26,175
2015-2016,1,1,0,0,0,13,5,4,6,0,0,0,183
2015-2016,2,15,0,0,3,6,5,32,7,0,0,1,106
2014-2015,1,7,2,0,2,6,0,44,7,1,0,4,101
2013-2014,2,12,3,0,0,8,1,35,4,0,0,2,96
2012-2013,2,17,1,0,1,6,2,38,3,1,1,4,85
2015-2016,11,3,1,0,0,0,51,6,9,0,0,0,24
2015-2016,0,1,0,0,1,4,2,1,3,0,0,0,14
2016-2017,0,1,0,0,0,6,3,1,5,0,0,0,21
2016-2017,2,0,0,0,0,15,7,4,6,1,0,2,204
2015-2016,3,1,5,0,0,13,28,5,20,0,0,0,98
2016-2017,6,1,2,0,0,15,28,7,17,0,0,0,98
2010-2011,10,1,2,0,2,11,22,2,11,0,0,6,41
2011-2012,9,1,4,1,2,7,27,2,15,0,0,9,48
2012-2013,9,0,4,0,2,9,40,0,19,0,0,12,57
2013-2014,9,2,3,0,2,8,48,0,20,0,1,15,71
2014-2015,13,3,4,0,5,10,66,6,35,0,1,20,103
2016-2017,27,4,8,0,7,15,78,4,42,0,0,23,122
2015-2016,0,0,0,0,0,5,3,0,7,2,0,2,112
2015-2016,13,0,10,0,2,1,104,6,91,0,0,13,34
2015-2016,0,0,0,0,0,0,2,0,6,0,0,0,6
2014-2015,0,0,1,0,0,3,2,1,1,0,0,0,75
2013-2014,0,0,1,0,0,1,2,2,1,0,0,0,68
2012-2013,0,0,1,0,0,1,3,1,0,1,0,0,55
2011-2012,0,0,1,0,0,0,1,1,1,1,0,0,41
2009-2010,0,1,0,0,0,0,0,1,2,0,0,0,54
2015-2016,0,0,0,0,0,4,2,1,3,0,1,0,78
2015-2016,0,4,0,0,1,6,1,10,1,1,1,1,71
2014-2015,0,2,0,0,1,6,1,6,4,1,0,0,75
2013-2014,0,2,0,0,0,7,2,5,2,0,0,2,57
2012-2013,0,1,1,0,0,7,4,3,2,0,0,3,46
2016-2017,0,0,0,0,0,8,0,1,4,0,0,0,84
2012-2013,10,6,5,0,1,13,60,17,17,0,1,27,87
2008-2009,3,4,1,0,8,11,21,29,13,1,1,55,152
2009-2010,3,3,1,0,7,12,27,28,8,1,1,47,148
2010-2011,7,6,1,0,7,99,25,22,6,2,1,71,169
2011-2012,7,6,3,0,14,14,33,21,8,2,1,90,199
2008-2009,1,1,1,0,1,8,14,20,3,0,0,21,149
2009-2010,1,2,2,0,1,9,16,26,8,0,0,43,129
2010-2011,2,2,4,0,2,11,19,26,12,0,0,34,118
2011-2012,2,2,2,0,2,8,15,18,12,0,0,32,112
2012-2013,3,1,0,0,3,8,9,19,15,1,0,41,126
2004-2005,3,9,0,0,4,11,41,14,8,0,0,22,165
2005-2006,5,10,0,0,7,20,48,17,8,0,0,36,185
2006-2007,9,6,0,0,7,17,40,11,9,0,0,31,201
2007-2008,7,5,0,0,6,15,36,13,7,0,0,37,181
2008-2009,6,4,0,0,5,21,28,18,11,0,0,41,173
2009-2010,8,4,2,0,2,18,30,18,9,0,0,33,162
2010-2011,6,5,3,0,2,15,36,17,11,0,0,23,163
2011-2012,9,4,3,0,3,19,49,10,15,0,0,20,203
2012-2013,7,4,3,0,1,22,49,13,17,1,0,24,219
2013-2014,4,1,4,0,8,33,36,16,22,1,0,51,303
2013-2014,11,5,4,5,5,28,56,14,16,1,23,56,220
2003-2004,4,9,0,0,3,13,44,24,6,0,0,14,183
2013-2014,13,6,5,0,0,9,65,18,16,0,1,27,92
2012-2013,8,5,2,0,15,14,30,28,10,1,1,109,191
2013-2014,3,4,2,0,18,16,38,26,13,0,0,131,194
2014-2015,3,9,3,0,21,16,33,24,11,0,0,138,200
2013-2014,1,0,28,0,4,1,1,3,182,0,0,31,15
2014-2015,1,0,32,0,0,2,2,0,186,1,2,0,10
2014-2015,0,0,0,0,0,7,2,1,2,0,0,14,57
2013-2014,0,0,0,0,2,9,1,0,1,0,0,7,46
2012-2013,0,0,0,0,3,7,1,0,1,0,0,6,45
2011-2012,0,1,0,0,3,7,0,0,1,0,0,5,44
2010-2011,0,1,0,0,1,6,2,0,0,0,0,7,36
2009-2010,0,0,0,0,1,7,3,0,2,0,0,9,26
2014-2015,12,1,1,0,0,6,53,6,13,0,0,0,15
2013-2014,11,0,1,0,0,6,58,3,11,0,0,0,22
2012-2013,9,0,0,0,0,7,42,4,10,0,0,0,26
2011-2012,9,0,0,0,0,6,38,5,9,0,0,0,17
2010-2011,4,0,0,0,0,2,43,8,11,0,0,0,36
2014-2015,2,1,2,1,0,1,19,5,4,0,0,0,13
2013-2014,0,1,1,0,0,0,15,2,3,0,0,0,11
2012-2013,1,1,2,0,0,0,16,1,3,0,0,0,7
2011-2012,0,0,2,0,0,0,9,0,2,0,0,0,7
2010-2011,0,0,1,0,0,1,10,1,1,0,0,0,3
2010-2011,0,5,0,0,0,1,0,28,1,0,0,0,0
2011-2012,0,30,0,0,0,0,0,109,1,0,0,0,2
2012-2013,0,26,0,0,0,0,0,87,2,0,0,0,5
2013-2014,0,22,1,0,0,0,0,61,1,0,0,0,4
2014-2015,0,14,0,0,0,0,0,61,0,0,0,0,4
2014-2015,0,0,1,0,1,17,1,0,9,2,0,6,159
2013-2014,0,0,1,0,0,14,0,0,6,0,0,3,169
2012-2013,1,0,0,0,0,14,4,1,9,1,0,3,167
2011-2012,2,0,2,0,0,14,3,2,5,0,0,2,158
2010-2011,1,0,2,0,0,18,3,2,5,2,0,1,144
2014-2015,1,1,1,0,0,25,3,7,4,0,0,0,218
2013-2014,1,1,0,0,2,25,1,6,5,0,0,0,236
2012-2013,1,2,0,0,0,23,2,9,3,1,2,0,219
2011-2012,2,3,1,0,0,20,2,7,5,0,2,0,213
2010-2011,2,1,2,0,0,19,1,8,6,1,1,0,225
2009-2010,1,2,1,0,0,21,2,5,5,0,1,0,256
2015-2016,1,1,1,0,0,34,3,6,6,0,0,0,227
2011-2012,10,9,2,0,1,9,39,31,12,0,1,2,120
2013-2014,6,6,1,0,0,9,39,29,11,0,0,0,112
2014-2015,8,5,2,0,1,15,45,25,12,0,0,5,111
2012-2013,10,7,1,0,0,9,42,30,11,0,0,4,118
2006-2007,0,5,0,0,0,7,2,13,4,3,0,0,97
2007-2008,0,4,1,0,0,4,1,24,3,3,0,0,121
2008-2009,0,3,1,0,0,2,2,23,1,2,0,0,120
2009-2010,0,3,0,0,0,5,3,11,0,1,0,0,90
2010-2011,0,2,0,0,0,8,3,13,4,0,0,0,119
2011-2012,0,5,0,0,0,7,2,9,3,0,0,0,103
2012-2013,0,2,0,0,0,6,3,10,3,0,0,0,111
2010-2011,8,11,1,0,1,5,35,27,9,1,1,2,123
2009-2010,10,8,14,0,0,37,77,27,118,6,0,0,376
2010-2011,12,7,16,1,0,47,83,26,144,3,4,0,421
2011-2012,20,5,27,0,0,58,94,20,151,1,3,0,516
2012-2013,20,4,32,0,0,77,103,25,195,1,3,0,506
2013-2014,25,6,32,1,0,72,96,20,212,2,0,0,549
2014-2015,20,5,22,1,0,50,78,16,145,1,0,0,389
2015-2016,11,0,1,0,0,3,60,6,6,1,0,0,21
2015-2016,4,0,2,1,0,1,16,3,4,0,0,0,9
2012-2013,0,0,0,0,0,1,1,1,0,0,0,1,1
2014-2015,2,0,1,0,0,1,7,3,1,0,0,0,16
2014-2015,1,3,1,0,2,9,3,9,4,2,0,8,81
2013-2014,0,3,1,0,2,7,2,7,2,1,1,2,65
2012-2013,1,3,2,0,4,6,3,5,7,1,1,4,63
2011-2012,0,3,3,0,1,6,3,7,8,0,1,2,60
2010-2011,2,2,1,0,1,8,8,11,12,0,1,1,59
2016-2017,13,2,3,0,2,14,51,26,15,0,0,14,101
2015-2016,0,0,0,0,0,15,0,1,4,1,0,1,56
2016-2017,0,0,1,0,0,13,1,0,5,1,0,2,55
2016-2017,1,1,1,0,0,35,5,3,4,1,0,6,258
2015-2016,2,0,4,0,0,20,17,2,17,0,0,0,97
2015-2016,9,5,4,0,1,14,52,27,15,0,0,10,103
2015-2016,20,3,26,1,0,54,88,23,144,1,1,0,383
2015-2016,2,0,0,0,0,1,10,8,3,0,0,1,26
2015-2016,1,0,39,0,0,1,1,0,203,1,1,0,12
2016-2017,1,0,51,0,0,2,0,2,209,1,0,0,16
2006-2007,11,7,16,0,0,33,38,25,82,1,0,0,380
2007-2008,10,7,13,0,0,44,38,22,72,1,0,0,346
2008-2009,6,3,14,0,0,43,45,27,86,4,0,0,339
2009-2010,10,7,10,0,0,37,66,24,106,6,0,0,387
2010-2011,11,7,16,1,2,43,74,19,115,3,3,12,348
2011-2012,15,5,22,0,3,53,85,14,121,1,2,19,423
2012-2013,17,4,26,0,4,67,88,18,149,1,2,21,406
2013-2014,23,6,29,1,6,60,78,17,166,2,0,20,454
2014-2015,21,5,22,1,4,45,79,18,117,1,0,21,332
2015-2016,21,3,27,1,4,58,79,21,135,1,0,14,348
2015-2016,1,0,2,0,0,16,2,0,9,5,0,9,164
2015-2016,3,3,1,0,2,17,3,9,2,2,0,15,100
2008-2009,2,1,0,0,4,14,4,4,1,0,0,12,39
2009-2010,1,1,0,0,2,14,5,3,0,0,0,7,38
